Customer_Speaking,Till_Response
"I need Fries, 6 Nuggets, 3 Chilli Bites","Sure! You've ordered Fries, 6 Nuggets, 3 Chilli Bites."
"I need Bacon Stacker, medium Mayo","Sure! You've ordered Bacon Stacker, Mayo."
I need Large Fries,Sure! You've ordered Large Fries.
"Please give me small Hot Chilli, 9 Chilli Bites","Sure! You've ordered Hot Chilli, 9 Chilli Bites."
"I'll have Diet Cocacola, Steakhouse Angus, medium 9 Chilli Bites","Sure! You've ordered Diet Cocacola, Steakhouse Angus, 9 Chilli Bites."
I need 20 Nuggets,Sure! You've ordered 20 Nuggets.
"Can I get 6 Chilli Bites, large Cocacola Zero, Fries","Sure! You've ordered 6 Chilli Bites, Cocacola Zero, Fries."
"I want medium Steakhouse Angus, medium 9 Doritos, 4 Nuggets","Sure! You've ordered Steakhouse Angus, 9 Doritos, 4 Nuggets."
I'll have medium Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
"I'll have Bacon Stacker, 6 Chilli Bites","Sure! You've ordered Bacon Stacker, 6 Chilli Bites."
Can I get large Water,Sure! You've ordered Water.
"Please give me Bacon Stacker, large 20 Chilli Bites","Sure! You've ordered Bacon Stacker, 20 Chilli Bites."
I want 9 Doritos,Sure! You've ordered 9 Doritos.
"Could I have Vegan Royale, Barbeque Sauce","Sure! You've ordered Vegan Royale, Barbeque Sauce."
I'll have Ham Burger,Sure! You've ordered Ham Burger.
"I need Chimichuri Loaded Fries, 6 Nuggets","Sure! You've ordered Chimichuri Loaded Fries, 6 Nuggets."
Could I have medium Bacon Double X L,Sure! You've ordered Bacon Double X L.
"Can you get me large Small Fries, 6 Nuggets","Sure! You've ordered Small Fries, 6 Nuggets."
"I want Bacon Double X L, 6 Nuggets","Sure! You've ordered Bacon Double X L, 6 Nuggets."
"I'd like to order Mayo, Steakhouse Chicken","Sure! You've ordered Mayo, Steakhouse Chicken."
"Could I have Chimichuri Loaded Fries, Cocacola Classic, small Vegan Royale","Sure! You've ordered Chimichuri Loaded Fries, Cocacola Classic, Vegan Royale."
"Can you get me 4 Chilli Bites, Ham Burger, Fries","Sure! You've ordered 4 Chilli Bites, Ham Burger, Fries."
"Can you get me Chimichuri Angus, 6 Chilli Bites, Small Fries","Sure! You've ordered Chimichuri Angus, 6 Chilli Bites, Small Fries."
"Can I get Cheese Burger, Tea, Ham Burger","Sure! You've ordered Cheese Burger, Tea, Ham Burger."
I want Chilli Jam Halumi,Sure! You've ordered Chilli Jam Halumi.
"I want Bacon Loaded Fries, medium Cheese Burger","Sure! You've ordered Bacon Loaded Fries, Cheese Burger."
"I'd like to order Mayo, large Barbeque Double Melt","Sure! You've ordered Mayo, Barbeque Double Melt."
"Please give me medium Barbeque Sauce, Whopper, Chicken Royale","Sure! You've ordered Barbeque Sauce, Whopper, Chicken Royale."
Can you get me Fries,Sure! You've ordered Fries.
"I'd like to order Mayo, medium 6 Chilli Bites","Sure! You've ordered Mayo, 6 Chilli Bites."
Can you get me large Cheese Loaded Fries,Sure! You've ordered Cheese Loaded Fries.
"Could I have Large Fries, Spicy Mayo, 6 Doritos","Sure! You've ordered Large Fries, Spicy Mayo, 6 Doritos."
"Can you get me Chimichuri Chicken, Steakhouse Chicken","Sure! You've ordered Chimichuri Chicken, Steakhouse Chicken."
Can I get Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"Could I have large Chimichuri Chicken, Cocacola Zero","Sure! You've ordered Chimichuri Chicken, Cocacola Zero."
"I want small Tea, medium Cocacola Zero, Vegan Royale","Sure! You've ordered Tea, Cocacola Zero, Vegan Royale."
"Please give me 6 Nuggets, Water","Sure! You've ordered 6 Nuggets, Water."
Please give me Spicy Mayo,Sure! You've ordered Spicy Mayo.
"Can I get large 9 Chilli Bites, medium 20 Doritos, large Chicken Royale","Sure! You've ordered 9 Chilli Bites, 20 Doritos, Chicken Royale."
"I'd like to order 4 Nuggets, Diet Cocacola, large Cocacola Classic","Sure! You've ordered 4 Nuggets, Diet Cocacola, Cocacola Classic."
Can you get me 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
Could I have Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
"I'd like to order Fries, medium Hot Chilli","Sure! You've ordered Fries, Hot Chilli."
"Can you get me Cocacola Classic, Chimichuri Loaded Fries","Sure! You've ordered Cocacola Classic, Chimichuri Loaded Fries."
"Can you get me Fanta, Chicken Royale","Sure! You've ordered Fanta, Chicken Royale."
Can I get 20 Nuggets,Sure! You've ordered 20 Nuggets.
"I'll have 9 Nuggets, Spicy Mayo","Sure! You've ordered 9 Nuggets, Spicy Mayo."
Could I have Cheese Burger,Sure! You've ordered Cheese Burger.
Can you get me Bacon Double X L,Sure! You've ordered Bacon Double X L.
"I need medium Bacon Stacker, Classic Double Melt, Chicken Royale","Sure! You've ordered Bacon Stacker, Classic Double Melt, Chicken Royale."
"Please give me Mayo, small Whopper, Steakhouse Angus","Sure! You've ordered Mayo, Whopper, Steakhouse Angus."
"I need Steakhouse Chicken, medium Small Fries","Sure! You've ordered Steakhouse Chicken, Small Fries."
"Can I get Spicy Mayo, Water","Sure! You've ordered Spicy Mayo, Water."
"Can you get me Chimichuri Loaded Fries, Cheese Burger","Sure! You've ordered Chimichuri Loaded Fries, Cheese Burger."
I'd like to order large 6 Nuggets,Sure! You've ordered 6 Nuggets.
Can I get Ham Burger,Sure! You've ordered Ham Burger.
I want 6 Doritos,Sure! You've ordered 6 Doritos.
"Could I have Cheese Loaded Fries, medium 9 Doritos, Barbeque Double Melt","Sure! You've ordered Cheese Loaded Fries, 9 Doritos, Barbeque Double Melt."
"Can you get me large 20 Doritos, Large Fries, Fries","Sure! You've ordered 20 Doritos, Large Fries, Fries."
Could I have Tea,Sure! You've ordered Tea.
"I'll have Barbeque Double Melt, small 4 Chilli Bites, large Chimichuri Loaded Fries","Sure! You've ordered Barbeque Double Melt, 4 Chilli Bites, Chimichuri Loaded Fries."
"I want large Mayo, 5 Doritos","Sure! You've ordered Mayo, 5 Doritos."
"I'd like to order medium 9 Chilli Bites, Classic Double Melt","Sure! You've ordered 9 Chilli Bites, Classic Double Melt."
"Can you get me large Mayo, PB Whopper, Chicken Royale","Sure! You've ordered Mayo, PB Whopper, Chicken Royale."
"Please give me Cocacola Classic, 6 Nuggets","Sure! You've ordered Cocacola Classic, 6 Nuggets."
"Could I have small 4 Nuggets, small Bacon Loaded Fries","Sure! You've ordered 4 Nuggets, Bacon Loaded Fries."
"Can I get 6 Nuggets, 20 Doritos, large Bacon Stacker","Sure! You've ordered 6 Nuggets, 20 Doritos, Bacon Stacker."
I'd like to order 6 Nuggets,Sure! You've ordered 6 Nuggets.
"I'd like to order small Ham Burger, Mayo","Sure! You've ordered Ham Burger, Mayo."
Can you get me large Vegan Royale,Sure! You've ordered Vegan Royale.
"Can I get medium Diet Cocacola, Hot Chilli","Sure! You've ordered Diet Cocacola, Hot Chilli."
"Could I have Chicken Royale, Steakhouse Angus, 5 Doritos","Sure! You've ordered Chicken Royale, Steakhouse Angus, 5 Doritos."
"Can I get Ham Burger, Cheese Burger","Sure! You've ordered Ham Burger, Cheese Burger."
"Can you get me Classic Double Melt, Chimichuri Loaded Fries","Sure! You've ordered Classic Double Melt, Chimichuri Loaded Fries."
"I want Barbeque Sauce, Chilli Jam Halumi, Tea","Sure! You've ordered Barbeque Sauce, Chilli Jam Halumi, Tea."
"I'll have 20 Nuggets, Water, 20 Doritos","Sure! You've ordered 20 Nuggets, Water, 20 Doritos."
I'd like to order small PB Whopper,Sure! You've ordered PB Whopper.
"I need small Whopper, medium 5 Doritos","Sure! You've ordered Whopper, 5 Doritos."
"I'll have Bacon Double X L, large Chilli Jam Halumi, Water","Sure! You've ordered Bacon Double X L, Chilli Jam Halumi, Water."
"I need Classic Double Melt, medium Fries, medium Cocacola Classic","Sure! You've ordered Classic Double Melt, Fries, Cocacola Classic."
"I'd like to order medium Cheese Loaded Fries, Chimichuri Chicken, Cocacola Zero","Sure! You've ordered Cheese Loaded Fries, Chimichuri Chicken, Cocacola Zero."
"I'll have Steakhouse Chicken, 9 Nuggets","Sure! You've ordered Steakhouse Chicken, 9 Nuggets."
Can you get me 4 Nuggets,Sure! You've ordered 4 Nuggets.
"I'd like to order small Bacon Loaded Fries, 9 Nuggets","Sure! You've ordered Bacon Loaded Fries, 9 Nuggets."
"I'll have Steakhouse Angus, 6 Nuggets, Cocacola Zero","Sure! You've ordered Steakhouse Angus, 6 Nuggets, Cocacola Zero."
Can I get 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
"I'd like to order medium 5 Doritos, Mayo, large Chilli Jam Halumi","Sure! You've ordered 5 Doritos, Mayo, Chilli Jam Halumi."
I want medium Cheese Loaded Fries,Sure! You've ordered Cheese Loaded Fries.
"I want medium Steakhouse Chicken, large Barbeque Sauce, Chicken Royale","Sure! You've ordered Steakhouse Chicken, Barbeque Sauce, Chicken Royale."
"I'll have Chilli Jam Whopper, Cocacola Classic, Whopper","Sure! You've ordered Chilli Jam Whopper, Cocacola Classic, Whopper."
"I'd like to order Ham Burger, small Chicken Royale","Sure! You've ordered Ham Burger, Chicken Royale."
I'd like to order 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
I need Bacon Stacker,Sure! You've ordered Bacon Stacker.
"Could I have 6 Nuggets, 20 Nuggets","Sure! You've ordered 6 Nuggets, 20 Nuggets."
"I'd like to order Hot Chilli, 4 Chilli Bites","Sure! You've ordered Hot Chilli, 4 Chilli Bites."
"I want Chimichuri Loaded Fries, Bacon Loaded Fries, Steakhouse Chicken","Sure! You've ordered Chimichuri Loaded Fries, Bacon Loaded Fries, Steakhouse Chicken."
I'd like to order 20 Doritos,Sure! You've ordered 20 Doritos.
"Could I have Cheese Burger, Diet Cocacola","Sure! You've ordered Cheese Burger, Diet Cocacola."
Can you get me Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"I'd like to order small 20 Nuggets, 20 Chilli Bites, Small Fries","Sure! You've ordered 20 Nuggets, 20 Chilli Bites, Small Fries."
"I want Chimichuri Loaded Fries, 4 Chilli Bites, Barbeque Double Melt","Sure! You've ordered Chimichuri Loaded Fries, 4 Chilli Bites, Barbeque Double Melt."
"Could I have large Water, Cocacola Classic, Hot Chilli","Sure! You've ordered Water, Cocacola Classic, Hot Chilli."
I'd like to order 4 Nuggets,Sure! You've ordered 4 Nuggets.
"Could I have medium 9 Doritos, small Cheese Loaded Fries, 20 Nuggets","Sure! You've ordered 9 Doritos, Cheese Loaded Fries, 20 Nuggets."
Please give me Hot Chilli,Sure! You've ordered Hot Chilli.
"I need 4 Chilli Bites, large Chilli Jam Halumi","Sure! You've ordered 4 Chilli Bites, Chilli Jam Halumi."
"Can I get 6 Doritos, Chilli Jam Halumi","Sure! You've ordered 6 Doritos, Chilli Jam Halumi."
"I need Chimichuri Angus, large Diet Cocacola","Sure! You've ordered Chimichuri Angus, Diet Cocacola."
"Can I get 6 Doritos, medium Cocacola Classic","Sure! You've ordered 6 Doritos, Cocacola Classic."
"Could I have Water, Bacon Loaded Fries, Vegan Royale","Sure! You've ordered Water, Bacon Loaded Fries, Vegan Royale."
"I want Water, 20 Nuggets, 5 Doritos","Sure! You've ordered Water, 20 Nuggets, 5 Doritos."
"Could I have Steakhouse Angus, medium 6 Chilli Bites, medium Chilli Jam Halumi","Sure! You've ordered Steakhouse Angus, 6 Chilli Bites, Chilli Jam Halumi."
Please give me Vegan Royale,Sure! You've ordered Vegan Royale.
"Can you get me Hot Chilli, large 9 Nuggets","Sure! You've ordered Hot Chilli, 9 Nuggets."
"Can you get me 5 Doritos, Cocacola Zero","Sure! You've ordered 5 Doritos, Cocacola Zero."
"Can I get 6 Nuggets, large Cheese Loaded Fries","Sure! You've ordered 6 Nuggets, Cheese Loaded Fries."
"I want 9 Nuggets, Large Fries, Bacon Loaded Fries","Sure! You've ordered 9 Nuggets, Large Fries, Bacon Loaded Fries."
Can I get small 6 Doritos,Sure! You've ordered 6 Doritos.
Please give me Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
"I'd like to order medium 9 Nuggets, Large Fries, Fries","Sure! You've ordered 9 Nuggets, Large Fries, Fries."
I'll have large Chicken Royale,Sure! You've ordered Chicken Royale.
"Could I have large Fanta, 9 Chilli Bites, Diet Cocacola","Sure! You've ordered Fanta, 9 Chilli Bites, Diet Cocacola."
I'll have small Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
"I'd like to order large 3 Chilli Bites, Chicken Royale, large Cocacola Classic","Sure! You've ordered 3 Chilli Bites, Chicken Royale, Cocacola Classic."
I want Cocacola Classic,Sure! You've ordered Cocacola Classic.
"Can I get Chicken Royale, medium 4 Chilli Bites, medium Bacon Double X L","Sure! You've ordered Chicken Royale, 4 Chilli Bites, Bacon Double X L."
"Could I have Steakhouse Angus, small Barbeque Sauce","Sure! You've ordered Steakhouse Angus, Barbeque Sauce."
"I need Fries, small Bacon Double X L","Sure! You've ordered Fries, Bacon Double X L."
I want large Water,Sure! You've ordered Water.
"Can you get me 5 Doritos, small Steakhouse Angus","Sure! You've ordered 5 Doritos, Steakhouse Angus."
"Can you get me Chicken Royale, 4 Nuggets","Sure! You've ordered Chicken Royale, 4 Nuggets."
"I want small Bacon Double, Bacon Stacker","Sure! You've ordered Bacon Double, Bacon Stacker."
I'll have 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"I'd like to order small 3 Chilli Bites, 4 Chilli Bites, 20 Nuggets","Sure! You've ordered 3 Chilli Bites, 4 Chilli Bites, 20 Nuggets."
"Could I have Vegan Royale, 20 Chilli Bites, Chilli Jam Halumi","Sure! You've ordered Vegan Royale, 20 Chilli Bites, Chilli Jam Halumi."
"Can I get large 6 Chilli Bites, Bacon Double","Sure! You've ordered 6 Chilli Bites, Bacon Double."
I'd like to order Cocacola Zero,Sure! You've ordered Cocacola Zero.
"Can I get PB Whopper, 20 Chilli Bites, Chimichuri Loaded Fries","Sure! You've ordered PB Whopper, 20 Chilli Bites, Chimichuri Loaded Fries."
"I'll have Chicken Royale, 4 Nuggets","Sure! You've ordered Chicken Royale, 4 Nuggets."
"I want Large Fries, Bacon Stacker","Sure! You've ordered Large Fries, Bacon Stacker."
"I need Bacon Loaded Fries, Fries","Sure! You've ordered Bacon Loaded Fries, Fries."
"I'd like to order 20 Doritos, 4 Chilli Bites, Hot Chilli","Sure! You've ordered 20 Doritos, 4 Chilli Bites, Hot Chilli."
"I'll have Bacon Loaded Fries, PB Whopper","Sure! You've ordered Bacon Loaded Fries, PB Whopper."
"Please give me Diet Cocacola, 20 Nuggets","Sure! You've ordered Diet Cocacola, 20 Nuggets."
I need Tea,Sure! You've ordered Tea.
"Please give me small Steakhouse Angus, Chimichuri Chicken, Chilli Jam Halumi","Sure! You've ordered Steakhouse Angus, Chimichuri Chicken, Chilli Jam Halumi."
"I'd like to order large 20 Nuggets, Cocacola Zero","Sure! You've ordered 20 Nuggets, Cocacola Zero."
"Can I get 4 Chilli Bites, Diet Cocacola, 4 Nuggets","Sure! You've ordered 4 Chilli Bites, Diet Cocacola, 4 Nuggets."
"I'd like to order Chimichuri Loaded Fries, Chilli Jam Whopper, PB Whopper","Sure! You've ordered Chimichuri Loaded Fries, Chilli Jam Whopper, PB Whopper."
Can I get small Diet Cocacola,Sure! You've ordered Diet Cocacola.
I need 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
Could I have Tea,Sure! You've ordered Tea.
"Can you get me PB Whopper, medium 20 Nuggets","Sure! You've ordered PB Whopper, 20 Nuggets."
"I want 9 Chilli Bites, Cheese Burger","Sure! You've ordered 9 Chilli Bites, Cheese Burger."
Can you get me Bacon Double X L,Sure! You've ordered Bacon Double X L.
Please give me Whopper,Sure! You've ordered Whopper.
"I want large Chimichuri Angus, Chimichuri Loaded Fries","Sure! You've ordered Chimichuri Angus, Chimichuri Loaded Fries."
"I want Ham Burger, small Steakhouse Chicken, small Chimichuri Loaded Fries","Sure! You've ordered Ham Burger, Steakhouse Chicken, Chimichuri Loaded Fries."
"Can I get large Tea, Cocacola Classic","Sure! You've ordered Tea, Cocacola Classic."
"Could I have Tea, 4 Chilli Bites, Cheese Burger","Sure! You've ordered Tea, 4 Chilli Bites, Cheese Burger."
I'd like to order Tea,Sure! You've ordered Tea.
"Can you get me Cocacola Zero, small Small Fries","Sure! You've ordered Cocacola Zero, Small Fries."
"Can you get me small Chilli Jam Halumi, 3 Chilli Bites, large Chimichuri Chicken","Sure! You've ordered Chilli Jam Halumi, 3 Chilli Bites, Chimichuri Chicken."
"I need small 6 Doritos, Barbeque Sauce, Steakhouse Angus","Sure! You've ordered 6 Doritos, Barbeque Sauce, Steakhouse Angus."
"I need Steakhouse Angus, medium Chimichuri Loaded Fries, Large Fries","Sure! You've ordered Steakhouse Angus, Chimichuri Loaded Fries, Large Fries."
"Can I get medium Small Fries, Classic Double Melt","Sure! You've ordered Small Fries, Classic Double Melt."
Can you get me small Bacon Double,Sure! You've ordered Bacon Double.
"I'll have Large Fries, PB Whopper, Fries","Sure! You've ordered Large Fries, PB Whopper, Fries."
"I'll have small Steakhouse Angus, Steakhouse Chicken","Sure! You've ordered Steakhouse Angus, Steakhouse Chicken."
Could I have Bacon Double X L,Sure! You've ordered Bacon Double X L.
Please give me Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
Please give me Fries,Sure! You've ordered Fries.
"I need 6 Nuggets, Bacon Double","Sure! You've ordered 6 Nuggets, Bacon Double."
I want Cheese Burger,Sure! You've ordered Cheese Burger.
"I'd like to order large Small Fries, small Steakhouse Angus","Sure! You've ordered Small Fries, Steakhouse Angus."
"I want 6 Nuggets, small 3 Chilli Bites, large Ham Burger","Sure! You've ordered 6 Nuggets, 3 Chilli Bites, Ham Burger."
"Can you get me Chilli Jam Whopper, Cocacola Classic","Sure! You've ordered Chilli Jam Whopper, Cocacola Classic."
"Please give me medium 6 Doritos, small Barbeque Sauce","Sure! You've ordered 6 Doritos, Barbeque Sauce."
"I'll have Tea, Cocacola Classic, Large Fries","Sure! You've ordered Tea, Cocacola Classic, Large Fries."
"I'd like to order 3 Chilli Bites, Mayo","Sure! You've ordered 3 Chilli Bites, Mayo."
I'll have large Fanta,Sure! You've ordered Fanta.
"I want Chilli Jam Whopper, large Classic Double Melt","Sure! You've ordered Chilli Jam Whopper, Classic Double Melt."
Could I have Fanta,Sure! You've ordered Fanta.
"I'll have large Bacon Stacker, medium PB Whopper, small Sprite Zero","Sure! You've ordered Bacon Stacker, PB Whopper, Sprite Zero."
"I want small 6 Doritos, small Steakhouse Angus, medium Chimichuri Angus","Sure! You've ordered 6 Doritos, Steakhouse Angus, Chimichuri Angus."
"Please give me large Whopper, 6 Nuggets, medium 9 Doritos","Sure! You've ordered Whopper, 6 Nuggets, 9 Doritos."
"Could I have Steakhouse Angus, Bacon Stacker, Chimichuri Loaded Fries","Sure! You've ordered Steakhouse Angus, Bacon Stacker, Chimichuri Loaded Fries."
"I want Chimichuri Chicken, 6 Nuggets","Sure! You've ordered Chimichuri Chicken, 6 Nuggets."
"I want large Fries, Classic Double Melt, Chicken Royale","Sure! You've ordered Fries, Classic Double Melt, Chicken Royale."
I'd like to order small 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
"I need 6 Nuggets, large Chimichuri Angus, medium Chicken Royale","Sure! You've ordered 6 Nuggets, Chimichuri Angus, Chicken Royale."
Can you get me small Fries,Sure! You've ordered Fries.
"Can you get me medium Fries, medium Diet Cocacola","Sure! You've ordered Fries, Diet Cocacola."
"I need Fries, Classic Double Melt","Sure! You've ordered Fries, Classic Double Melt."
"I'd like to order Classic Double Melt, small Bacon Double","Sure! You've ordered Classic Double Melt, Bacon Double."
"I want large Cheese Loaded Fries, Ham Burger","Sure! You've ordered Cheese Loaded Fries, Ham Burger."
"Can I get medium Barbeque Double Melt, Cheese Loaded Fries, Water","Sure! You've ordered Barbeque Double Melt, Cheese Loaded Fries, Water."
"Could I have small Bacon Double X L, small Tea, large Fries","Sure! You've ordered Bacon Double X L, Tea, Fries."
"I'll have 4 Nuggets, large Whopper","Sure! You've ordered 4 Nuggets, Whopper."
"Please give me 9 Doritos, Chimichuri Chicken","Sure! You've ordered 9 Doritos, Chimichuri Chicken."
Could I have Vegan Royale,Sure! You've ordered Vegan Royale.
I'll have 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"Please give me small 20 Nuggets, medium Chimichuri Loaded Fries, Chimichuri Chicken","Sure! You've ordered 20 Nuggets, Chimichuri Loaded Fries, Chimichuri Chicken."
Can I get small Ham Burger,Sure! You've ordered Ham Burger.
Can you get me 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I'll have Chicken Royale, medium Cocacola Zero, Chimichuri Loaded Fries","Sure! You've ordered Chicken Royale, Cocacola Zero, Chimichuri Loaded Fries."
I need Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"I need Chilli Jam Halumi, large 20 Nuggets","Sure! You've ordered Chilli Jam Halumi, 20 Nuggets."
I want 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
I'd like to order Chilli Jam Halumi,Sure! You've ordered Chilli Jam Halumi.
"Could I have Sprite Zero, Cocacola Zero, Cheese Loaded Fries","Sure! You've ordered Sprite Zero, Cocacola Zero, Cheese Loaded Fries."
"Could I have 4 Nuggets, Bacon Stacker","Sure! You've ordered 4 Nuggets, Bacon Stacker."
"Could I have medium Bacon Double, medium 3 Chilli Bites","Sure! You've ordered Bacon Double, 3 Chilli Bites."
"Can you get me 9 Chilli Bites, 5 Doritos","Sure! You've ordered 9 Chilli Bites, 5 Doritos."
"Can you get me Ham Burger, 4 Chilli Bites, Chicken Royale","Sure! You've ordered Ham Burger, 4 Chilli Bites, Chicken Royale."
"I want PB Whopper, 6 Nuggets, Bacon Loaded Fries","Sure! You've ordered PB Whopper, 6 Nuggets, Bacon Loaded Fries."
"I need Fanta, 3 Chilli Bites, Chimichuri Angus","Sure! You've ordered Fanta, 3 Chilli Bites, Chimichuri Angus."
"I'll have 9 Doritos, Bacon Double","Sure! You've ordered 9 Doritos, Bacon Double."
"I want 6 Chilli Bites, large 20 Chilli Bites, 3 Chilli Bites","Sure! You've ordered 6 Chilli Bites, 20 Chilli Bites, 3 Chilli Bites."
"I'd like to order Whopper, small Chilli Jam Whopper, Chimichuri Angus","Sure! You've ordered Whopper, Chilli Jam Whopper, Chimichuri Angus."
Can I get Diet Cocacola,Sure! You've ordered Diet Cocacola.
"Could I have Chimichuri Angus, large Chimichuri Chicken, 4 Nuggets","Sure! You've ordered Chimichuri Angus, Chimichuri Chicken, 4 Nuggets."
I'll have large 6 Nuggets,Sure! You've ordered 6 Nuggets.
Could I have medium 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
Could I have 9 Nuggets,Sure! You've ordered 9 Nuggets.
I want 9 Nuggets,Sure! You've ordered 9 Nuggets.
Can you get me 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I'll have Vegan Royale, Cocacola Classic","Sure! You've ordered Vegan Royale, Cocacola Classic."
"I want 9 Nuggets, Steakhouse Angus, 9 Chilli Bites","Sure! You've ordered 9 Nuggets, Steakhouse Angus, 9 Chilli Bites."
"Could I have 4 Nuggets, Cheese Loaded Fries, Bacon Double X L","Sure! You've ordered 4 Nuggets, Cheese Loaded Fries, Bacon Double X L."
"Can I get Classic Double Melt, Chilli Jam Halumi, 3 Chilli Bites","Sure! You've ordered Classic Double Melt, Chilli Jam Halumi, 3 Chilli Bites."
"Could I have Diet Cocacola, large Cocacola Classic, Sprite Zero","Sure! You've ordered Diet Cocacola, Cocacola Classic, Sprite Zero."
"Can I get Diet Cocacola, 6 Nuggets, 4 Nuggets","Sure! You've ordered Diet Cocacola, 6 Nuggets, 4 Nuggets."
"I need small Bacon Stacker, 6 Nuggets, Bacon Double X L","Sure! You've ordered Bacon Stacker, 6 Nuggets, Bacon Double X L."
"Can I get large Chimichuri Chicken, large Chilli Jam Halumi","Sure! You've ordered Chimichuri Chicken, Chilli Jam Halumi."
"Can you get me Steakhouse Angus, medium Mayo","Sure! You've ordered Steakhouse Angus, Mayo."
Could I have Cheese Burger,Sure! You've ordered Cheese Burger.
"I need 5 Doritos, Small Fries","Sure! You've ordered 5 Doritos, Small Fries."
"Can I get Chimichuri Angus, large Vegan Royale, medium Sprite Zero","Sure! You've ordered Chimichuri Angus, Vegan Royale, Sprite Zero."
"Please give me 20 Doritos, 20 Chilli Bites","Sure! You've ordered 20 Doritos, 20 Chilli Bites."
Please give me 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I need Chimichuri Loaded Fries, Steakhouse Angus","Sure! You've ordered Chimichuri Loaded Fries, Steakhouse Angus."
"Could I have 9 Nuggets, small Bacon Stacker","Sure! You've ordered 9 Nuggets, Bacon Stacker."
I want 6 Doritos,Sure! You've ordered 6 Doritos.
Could I have Classic Double Melt,Sure! You've ordered Classic Double Melt.
Please give me Mayo,Sure! You've ordered Mayo.
