Customer_Speaking,Till_Response
"Please give me 3 Chilli Bites, Cocacola Zero","Sure! You've ordered 3 Chilli Bites, Cocacola Zero."
Please give me 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
Please give me small Bacon Double X L,Sure! You've ordered Bacon Double X L.
"Can I get small 20 Chilli Bites, small Large Fries","Sure! You've ordered 20 Chilli Bites, Large Fries."
"I need medium Steakhouse Angus, small 20 Doritos","Sure! You've ordered Steakhouse Angus, 20 Doritos."
"I want 20 Chilli Bites, Chilli Jam Halumi, small Chicken Royale","Sure! You've ordered 20 Chilli Bites, Chilli Jam Halumi, Chicken Royale."
"Could I have large 6 Doritos, Cocacola Classic","Sure! You've ordered 6 Doritos, Cocacola Classic."
Can you get me large Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
"Can you get me Chicken Royale, 6 Nuggets, medium Chilli Jam Whopper","Sure! You've ordered Chicken Royale, 6 Nuggets, Chilli Jam Whopper."
"I want small Spicy Mayo, Fries","Sure! You've ordered Spicy Mayo, Fries."
I want Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"Can you get me small 5 Doritos, Chimichuri Chicken, Large Fries","Sure! You've ordered 5 Doritos, Chimichuri Chicken, Large Fries."
Can you get me small Fanta,Sure! You've ordered Fanta.
I'd like to order Chicken Royale,Sure! You've ordered Chicken Royale.
"Please give me Steakhouse Angus, Whopper, Cheese Burger","Sure! You've ordered Steakhouse Angus, Whopper, Cheese Burger."
"Please give me Chimichuri Angus, Spicy Mayo","Sure! You've ordered Chimichuri Angus, Spicy Mayo."
Can I get 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I'd like to order small Chilli Jam Halumi, Chimichuri Angus, large 6 Doritos","Sure! You've ordered Chilli Jam Halumi, Chimichuri Angus, 6 Doritos."
"Could I have 6 Doritos, large Bacon Loaded Fries, Barbeque Sauce","Sure! You've ordered 6 Doritos, Bacon Loaded Fries, Barbeque Sauce."
"Can I get Barbeque Sauce, large Steakhouse Angus, Chicken Royale","Sure! You've ordered Barbeque Sauce, Steakhouse Angus, Chicken Royale."
I'll have 9 Doritos,Sure! You've ordered 9 Doritos.
"I'll have Vegan Royale, small Steakhouse Angus, Fries","Sure! You've ordered Vegan Royale, Steakhouse Angus, Fries."
Could I have Large Fries,Sure! You've ordered Large Fries.
"Please give me large 5 Doritos, 6 Nuggets","Sure! You've ordered 5 Doritos, 6 Nuggets."
I need Ham Burger,Sure! You've ordered Ham Burger.
Please give me Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"Can I get medium Cheese Loaded Fries, 5 Doritos, small 6 Chilli Bites","Sure! You've ordered Cheese Loaded Fries, 5 Doritos, 6 Chilli Bites."
I want 4 Nuggets,Sure! You've ordered 4 Nuggets.
I want large Cocacola Zero,Sure! You've ordered Cocacola Zero.
I'd like to order medium Chicken Royale,Sure! You've ordered Chicken Royale.
I want large Hot Chilli,Sure! You've ordered Hot Chilli.
Can I get Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
Can you get me Bacon Stacker,Sure! You've ordered Bacon Stacker.
"Can I get medium PB Whopper, small Spicy Mayo, Ham Burger","Sure! You've ordered PB Whopper, Spicy Mayo, Ham Burger."
"I'll have large 20 Chilli Bites, 4 Nuggets, Small Fries","Sure! You've ordered 20 Chilli Bites, 4 Nuggets, Small Fries."
"I need large Mayo, small Cocacola Classic, small 6 Doritos","Sure! You've ordered Mayo, Cocacola Classic, 6 Doritos."
"I'll have Vegan Royale, 9 Nuggets","Sure! You've ordered Vegan Royale, 9 Nuggets."
"Please give me Cheese Loaded Fries, medium Bacon Double X L, Barbeque Double Melt","Sure! You've ordered Cheese Loaded Fries, Bacon Double X L, Barbeque Double Melt."
I'd like to order medium 9 Nuggets,Sure! You've ordered 9 Nuggets.
"Can you get me Diet Cocacola, Chilli Jam Whopper","Sure! You've ordered Diet Cocacola, Chilli Jam Whopper."
"Can you get me Barbeque Sauce, Cheese Burger, PB Whopper","Sure! You've ordered Barbeque Sauce, Cheese Burger, PB Whopper."
"I'd like to order small Barbeque Sauce, medium 4 Chilli Bites, 9 Chilli Bites","Sure! You've ordered Barbeque Sauce, 4 Chilli Bites, 9 Chilli Bites."
I want Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
I'd like to order large Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"I'll have small Hot Chilli, 3 Chilli Bites","Sure! You've ordered Hot Chilli, 3 Chilli Bites."
Can I get Steakhouse Chicken,Sure! You've ordered Steakhouse Chicken.
Please give me 20 Nuggets,Sure! You've ordered 20 Nuggets.
"I want small Hot Chilli, 9 Chilli Bites","Sure! You've ordered Hot Chilli, 9 Chilli Bites."
"I'll have small Fries, large Bacon Loaded Fries, small Chimichuri Chicken","Sure! You've ordered Fries, Bacon Loaded Fries, Chimichuri Chicken."
I want medium 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"Can you get me small 4 Chilli Bites, Ham Burger, Vegan Royale","Sure! You've ordered 4 Chilli Bites, Ham Burger, Vegan Royale."
Please give me Sprite Zero,Sure! You've ordered Sprite Zero.
"Could I have medium Cheese Burger, Vegan Royale","Sure! You've ordered Cheese Burger, Vegan Royale."
"I'll have small 9 Nuggets, Cheese Burger, small Chilli Jam Halumi","Sure! You've ordered 9 Nuggets, Cheese Burger, Chilli Jam Halumi."
"I want 6 Chilli Bites, Diet Cocacola","Sure! You've ordered 6 Chilli Bites, Diet Cocacola."
"Please give me Tea, Cheese Loaded Fries, Large Fries","Sure! You've ordered Tea, Cheese Loaded Fries, Large Fries."
"Please give me Barbeque Sauce, Bacon Loaded Fries, large Large Fries","Sure! You've ordered Barbeque Sauce, Bacon Loaded Fries, Large Fries."
Please give me medium 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I want 20 Chilli Bites, Diet Cocacola, large Bacon Loaded Fries","Sure! You've ordered 20 Chilli Bites, Diet Cocacola, Bacon Loaded Fries."
"Could I have Cocacola Classic, medium Mayo, Classic Double Melt","Sure! You've ordered Cocacola Classic, Mayo, Classic Double Melt."
"I'll have Cheese Burger, Steakhouse Angus","Sure! You've ordered Cheese Burger, Steakhouse Angus."
Please give me Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
I want Bacon Stacker,Sure! You've ordered Bacon Stacker.
I'd like to order medium Chimichuri Loaded Fries,Sure! You've ordered Chimichuri Loaded Fries.
"Can you get me Whopper, medium Bacon Stacker, Large Fries","Sure! You've ordered Whopper, Bacon Stacker, Large Fries."
"I'd like to order Large Fries, 9 Doritos, small Chilli Jam Halumi","Sure! You've ordered Large Fries, 9 Doritos, Chilli Jam Halumi."
Can I get 4 Nuggets,Sure! You've ordered 4 Nuggets.
"I'll have Fanta, small 6 Doritos","Sure! You've ordered Fanta, 6 Doritos."
"I'll have Whopper, large Chicken Royale","Sure! You've ordered Whopper, Chicken Royale."
"I'd like to order Steakhouse Chicken, Ham Burger, large Hot Chilli","Sure! You've ordered Steakhouse Chicken, Ham Burger, Hot Chilli."
"I'll have Small Fries, Fries, Chilli Jam Halumi","Sure! You've ordered Small Fries, Fries, Chilli Jam Halumi."
"I need Bacon Double, Barbeque Sauce, Chicken Royale","Sure! You've ordered Bacon Double, Barbeque Sauce, Chicken Royale."
I'd like to order 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
"I want Large Fries, large 9 Doritos, large Cocacola Zero","Sure! You've ordered Large Fries, 9 Doritos, Cocacola Zero."
"Can you get me small 5 Doritos, large Bacon Double X L, Spicy Mayo","Sure! You've ordered 5 Doritos, Bacon Double X L, Spicy Mayo."
"I'd like to order 6 Chilli Bites, medium Steakhouse Chicken, medium Vegan Royale","Sure! You've ordered 6 Chilli Bites, Steakhouse Chicken, Vegan Royale."
"I'll have 9 Nuggets, large Steakhouse Chicken, 6 Nuggets","Sure! You've ordered 9 Nuggets, Steakhouse Chicken, 6 Nuggets."
I'd like to order medium 20 Nuggets,Sure! You've ordered 20 Nuggets.
"Can I get Whopper, Barbeque Sauce","Sure! You've ordered Whopper, Barbeque Sauce."
"Can you get me 5 Doritos, large Chimichuri Angus, Ham Burger","Sure! You've ordered 5 Doritos, Chimichuri Angus, Ham Burger."
"Please give me Mayo, 20 Doritos, Bacon Double X L","Sure! You've ordered Mayo, 20 Doritos, Bacon Double X L."
Can I get medium Cheese Loaded Fries,Sure! You've ordered Cheese Loaded Fries.
"Can you get me Chicken Royale, medium Hot Chilli, Cheese Loaded Fries","Sure! You've ordered Chicken Royale, Hot Chilli, Cheese Loaded Fries."
"Can you get me Spicy Mayo, Steakhouse Angus, small 6 Nuggets","Sure! You've ordered Spicy Mayo, Steakhouse Angus, 6 Nuggets."
"I'll have Sprite Zero, small Tea","Sure! You've ordered Sprite Zero, Tea."
I need 4 Chilli Bites,Sure! You've ordered 4 Chilli Bites.
"I want Fanta, 4 Chilli Bites, Chimichuri Loaded Fries","Sure! You've ordered Fanta, 4 Chilli Bites, Chimichuri Loaded Fries."
Could I have small Sprite Zero,Sure! You've ordered Sprite Zero.
"Can you get me small 5 Doritos, medium Hot Chilli, small 20 Chilli Bites","Sure! You've ordered 5 Doritos, Hot Chilli, 20 Chilli Bites."
"Can you get me Chicken Royale, 6 Chilli Bites, 4 Chilli Bites","Sure! You've ordered Chicken Royale, 6 Chilli Bites, 4 Chilli Bites."
"Can you get me Barbeque Double Melt, large Ham Burger, Fries","Sure! You've ordered Barbeque Double Melt, Ham Burger, Fries."
"Can I get Hot Chilli, 9 Nuggets, Tea","Sure! You've ordered Hot Chilli, 9 Nuggets, Tea."
"I need 9 Chilli Bites, Barbeque Double Melt, Steakhouse Chicken","Sure! You've ordered 9 Chilli Bites, Barbeque Double Melt, Steakhouse Chicken."
Can you get me small Cocacola Classic,Sure! You've ordered Cocacola Classic.
"I'll have small Chimichuri Chicken, small Chicken Royale","Sure! You've ordered Chimichuri Chicken, Chicken Royale."
"Could I have Hot Chilli, medium Chimichuri Loaded Fries, Whopper","Sure! You've ordered Hot Chilli, Chimichuri Loaded Fries, Whopper."
"Could I have 4 Nuggets, Whopper","Sure! You've ordered 4 Nuggets, Whopper."
Could I have Fries,Sure! You've ordered Fries.
Can you get me medium Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
"Can you get me Barbeque Sauce, large Vegan Royale, Chilli Jam Whopper","Sure! You've ordered Barbeque Sauce, Vegan Royale, Chilli Jam Whopper."
Could I have small Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
"Please give me 5 Doritos, medium 6 Chilli Bites","Sure! You've ordered 5 Doritos, 6 Chilli Bites."
"Could I have 5 Doritos, Chicken Royale, Bacon Stacker","Sure! You've ordered 5 Doritos, Chicken Royale, Bacon Stacker."
"I need small Water, medium Ham Burger, small 20 Nuggets","Sure! You've ordered Water, Ham Burger, 20 Nuggets."
"Can you get me Cheese Burger, Hot Chilli, Sprite Zero","Sure! You've ordered Cheese Burger, Hot Chilli, Sprite Zero."
I'll have Fries,Sure! You've ordered Fries.
I'd like to order Mayo,Sure! You've ordered Mayo.
"Could I have 6 Nuggets, large Small Fries","Sure! You've ordered 6 Nuggets, Small Fries."
"Could I have large Cheese Loaded Fries, Bacon Double X L, Bacon Double","Sure! You've ordered Cheese Loaded Fries, Bacon Double X L, Bacon Double."
"I'll have Sprite Zero, Barbeque Sauce","Sure! You've ordered Sprite Zero, Barbeque Sauce."
Can you get me Bacon Stacker,Sure! You've ordered Bacon Stacker.
"I want 9 Chilli Bites, 4 Nuggets, large 9 Doritos","Sure! You've ordered 9 Chilli Bites, 4 Nuggets, 9 Doritos."
"Please give me 6 Chilli Bites, Spicy Mayo","Sure! You've ordered 6 Chilli Bites, Spicy Mayo."
Can you get me 6 Doritos,Sure! You've ordered 6 Doritos.
"Can you get me Bacon Double X L, Classic Double Melt, medium Hot Chilli","Sure! You've ordered Bacon Double X L, Classic Double Melt, Hot Chilli."
"I need Barbeque Double Melt, 9 Doritos, Bacon Stacker","Sure! You've ordered Barbeque Double Melt, 9 Doritos, Bacon Stacker."
"I'll have 6 Doritos, Ham Burger","Sure! You've ordered 6 Doritos, Ham Burger."
I want Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
I need medium Barbeque Sauce,Sure! You've ordered Barbeque Sauce.
Can you get me Bacon Stacker,Sure! You've ordered Bacon Stacker.
"I need Bacon Double, Chimichuri Angus","Sure! You've ordered Bacon Double, Chimichuri Angus."
"Can you get me medium Cheese Burger, large Chimichuri Loaded Fries, 9 Chilli Bites","Sure! You've ordered Cheese Burger, Chimichuri Loaded Fries, 9 Chilli Bites."
I'll have large Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"I'll have Hot Chilli, medium Spicy Mayo, Cheese Burger","Sure! You've ordered Hot Chilli, Spicy Mayo, Cheese Burger."
I'd like to order Chimichuri Angus,Sure! You've ordered Chimichuri Angus.
"I'll have Ham Burger, Chimichuri Chicken","Sure! You've ordered Ham Burger, Chimichuri Chicken."
I'll have Vegan Royale,Sure! You've ordered Vegan Royale.
"Can I get 3 Chilli Bites, medium 6 Doritos, small Tea","Sure! You've ordered 3 Chilli Bites, 6 Doritos, Tea."
I want small Water,Sure! You've ordered Water.
"I'll have small 6 Doritos, 20 Doritos, 4 Chilli Bites","Sure! You've ordered 6 Doritos, 20 Doritos, 4 Chilli Bites."
I'd like to order Mayo,Sure! You've ordered Mayo.
"I want Cheese Loaded Fries, Chimichuri Chicken, Cocacola Classic","Sure! You've ordered Cheese Loaded Fries, Chimichuri Chicken, Cocacola Classic."
"Can you get me Mayo, small 3 Chilli Bites","Sure! You've ordered Mayo, 3 Chilli Bites."
"Please give me Whopper, small 9 Doritos, large 6 Nuggets","Sure! You've ordered Whopper, 9 Doritos, 6 Nuggets."
"Could I have large Water, Steakhouse Angus, Cocacola Zero","Sure! You've ordered Water, Steakhouse Angus, Cocacola Zero."
"Can you get me Small Fries, Tea, large 9 Chilli Bites","Sure! You've ordered Small Fries, Tea, 9 Chilli Bites."
I want medium 9 Doritos,Sure! You've ordered 9 Doritos.
"Can you get me Chimichuri Angus, Fanta","Sure! You've ordered Chimichuri Angus, Fanta."
"Could I have small Cheese Loaded Fries, Large Fries","Sure! You've ordered Cheese Loaded Fries, Large Fries."
"Please give me small Chicken Royale, medium Cheese Loaded Fries","Sure! You've ordered Chicken Royale, Cheese Loaded Fries."
"Can you get me 4 Chilli Bites, Chilli Jam Halumi","Sure! You've ordered 4 Chilli Bites, Chilli Jam Halumi."
I want small Ham Burger,Sure! You've ordered Ham Burger.
"Could I have Barbeque Sauce, 4 Nuggets, large Cocacola Zero","Sure! You've ordered Barbeque Sauce, 4 Nuggets, Cocacola Zero."
"Can I get small Hot Chilli, PB Whopper","Sure! You've ordered Hot Chilli, PB Whopper."
"Can I get Fanta, 9 Doritos","Sure! You've ordered Fanta, 9 Doritos."
I need Tea,Sure! You've ordered Tea.
Could I have 9 Doritos,Sure! You've ordered 9 Doritos.
Could I have 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"I'd like to order 20 Doritos, Whopper, Barbeque Double Melt","Sure! You've ordered 20 Doritos, Whopper, Barbeque Double Melt."
"I'd like to order Mayo, medium 4 Nuggets, small Chilli Jam Whopper","Sure! You've ordered Mayo, 4 Nuggets, Chilli Jam Whopper."
I need Bacon Double,Sure! You've ordered Bacon Double.
I'll have small Small Fries,Sure! You've ordered Small Fries.
"Can you get me medium Steakhouse Angus, medium Chilli Jam Halumi","Sure! You've ordered Steakhouse Angus, Chilli Jam Halumi."
"Please give me Steakhouse Angus, Mayo","Sure! You've ordered Steakhouse Angus, Mayo."
"Please give me Vegan Royale, Steakhouse Angus","Sure! You've ordered Vegan Royale, Steakhouse Angus."
Please give me Spicy Mayo,Sure! You've ordered Spicy Mayo.
Please give me Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"Can you get me small Water, large 6 Doritos, medium Cheese Loaded Fries","Sure! You've ordered Water, 6 Doritos, Cheese Loaded Fries."
"I'll have medium 20 Doritos, Barbeque Double Melt","Sure! You've ordered 20 Doritos, Barbeque Double Melt."
Can you get me 6 Nuggets,Sure! You've ordered 6 Nuggets.
"Could I have Bacon Double X L, Mayo","Sure! You've ordered Bacon Double X L, Mayo."
I'd like to order Whopper,Sure! You've ordered Whopper.
I want Vegan Royale,Sure! You've ordered Vegan Royale.
"I need large 6 Nuggets, 4 Nuggets, PB Whopper","Sure! You've ordered 6 Nuggets, 4 Nuggets, PB Whopper."
I'll have Cheese Burger,Sure! You've ordered Cheese Burger.
I need 5 Doritos,Sure! You've ordered 5 Doritos.
Can I get large Vegan Royale,Sure! You've ordered Vegan Royale.
Please give me 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"Can I get medium Steakhouse Chicken, Chimichuri Angus, small Classic Double Melt","Sure! You've ordered Steakhouse Chicken, Chimichuri Angus, Classic Double Melt."
"Could I have large Chimichuri Chicken, Cocacola Zero","Sure! You've ordered Chimichuri Chicken, Cocacola Zero."
"Can I get Whopper, Tea, 4 Nuggets","Sure! You've ordered Whopper, Tea, 4 Nuggets."
"Can you get me large Mayo, Chimichuri Angus","Sure! You've ordered Mayo, Chimichuri Angus."
"Can I get Whopper, Bacon Loaded Fries","Sure! You've ordered Whopper, Bacon Loaded Fries."
Please give me Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
"Could I have large 9 Doritos, Bacon Double X L, Steakhouse Chicken","Sure! You've ordered 9 Doritos, Bacon Double X L, Steakhouse Chicken."
Can I get medium Mayo,Sure! You've ordered Mayo.
"I'd like to order 9 Chilli Bites, Bacon Loaded Fries","Sure! You've ordered 9 Chilli Bites, Bacon Loaded Fries."
"I need Chimichuri Angus, Diet Cocacola, Cocacola Classic","Sure! You've ordered Chimichuri Angus, Diet Cocacola, Cocacola Classic."
Can you get me 4 Chilli Bites,Sure! You've ordered 4 Chilli Bites.
Can you get me large 6 Doritos,Sure! You've ordered 6 Doritos.
Could I have 6 Nuggets,Sure! You've ordered 6 Nuggets.
Please give me 6 Nuggets,Sure! You've ordered 6 Nuggets.
"I'd like to order Chicken Royale, Steakhouse Angus, large Spicy Mayo","Sure! You've ordered Chicken Royale, Steakhouse Angus, Spicy Mayo."
"Can you get me large 6 Doritos, large 5 Doritos","Sure! You've ordered 6 Doritos, 5 Doritos."
"I want large 9 Doritos, Large Fries, 20 Nuggets","Sure! You've ordered 9 Doritos, Large Fries, 20 Nuggets."
"I want Cheese Burger, Bacon Double","Sure! You've ordered Cheese Burger, Bacon Double."
"I'd like to order medium 20 Nuggets, small Ham Burger, large Chimichuri Angus","Sure! You've ordered 20 Nuggets, Ham Burger, Chimichuri Angus."
"Can you get me Chimichuri Angus, large 3 Chilli Bites","Sure! You've ordered Chimichuri Angus, 3 Chilli Bites."
"Could I have Cocacola Zero, small Cocacola Classic, 4 Nuggets","Sure! You've ordered Cocacola Zero, Cocacola Classic, 4 Nuggets."
"I want Cheese Loaded Fries, Small Fries, small Whopper","Sure! You've ordered Cheese Loaded Fries, Small Fries, Whopper."
"Could I have small Sprite Zero, small 6 Chilli Bites, Large Fries","Sure! You've ordered Sprite Zero, 6 Chilli Bites, Large Fries."
"I'll have large Vegan Royale, large 20 Chilli Bites, Cocacola Zero","Sure! You've ordered Vegan Royale, 20 Chilli Bites, Cocacola Zero."
"Can you get me medium Diet Cocacola, Steakhouse Angus, large Small Fries","Sure! You've ordered Diet Cocacola, Steakhouse Angus, Small Fries."
"Could I have medium 6 Nuggets, medium 9 Nuggets","Sure! You've ordered 6 Nuggets, 9 Nuggets."
"Could I have Cheese Burger, 9 Doritos, 6 Nuggets","Sure! You've ordered Cheese Burger, 9 Doritos, 6 Nuggets."
I'd like to order Chicken Royale,Sure! You've ordered Chicken Royale.
Please give me medium Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
I'll have Bacon Stacker,Sure! You've ordered Bacon Stacker.
"I want Chilli Jam Whopper, Sprite Zero","Sure! You've ordered Chilli Jam Whopper, Sprite Zero."
I need Fries,Sure! You've ordered Fries.
"Could I have medium Fanta, small 6 Nuggets, small Fries","Sure! You've ordered Fanta, 6 Nuggets, Fries."
Can you get me Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
Can I get large Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"Can you get me Water, Cheese Burger, Mayo","Sure! You've ordered Water, Cheese Burger, Mayo."
"Please give me Cheese Loaded Fries, small Steakhouse Angus, small 5 Doritos","Sure! You've ordered Cheese Loaded Fries, Steakhouse Angus, 5 Doritos."
I need Bacon Loaded Fries,Sure! You've ordered Bacon Loaded Fries.
"I'd like to order 6 Nuggets, Hot Chilli, 20 Doritos","Sure! You've ordered 6 Nuggets, Hot Chilli, 20 Doritos."
"I'd like to order Chicken Royale, 5 Doritos, small Hot Chilli","Sure! You've ordered Chicken Royale, 5 Doritos, Hot Chilli."
"Could I have large Large Fries, medium Chicken Royale","Sure! You've ordered Large Fries, Chicken Royale."
I'll have large 9 Doritos,Sure! You've ordered 9 Doritos.
I'd like to order Fries,Sure! You've ordered Fries.
I want Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
"Can you get me Diet Cocacola, small Whopper","Sure! You've ordered Diet Cocacola, Whopper."
"Please give me Sprite Zero, Ham Burger, Steakhouse Chicken","Sure! You've ordered Sprite Zero, Ham Burger, Steakhouse Chicken."
Please give me Tea,Sure! You've ordered Tea.
"I want Barbeque Sauce, 20 Nuggets, medium Chilli Jam Halumi","Sure! You've ordered Barbeque Sauce, 20 Nuggets, Chilli Jam Halumi."
Please give me Tea,Sure! You've ordered Tea.
I'll have 4 Chilli Bites,Sure! You've ordered 4 Chilli Bites.
"I want Steakhouse Angus, 9 Chilli Bites, small Chimichuri Chicken","Sure! You've ordered Steakhouse Angus, 9 Chilli Bites, Chimichuri Chicken."
"Can you get me Classic Double Melt, Bacon Stacker","Sure! You've ordered Classic Double Melt, Bacon Stacker."
I'll have Mayo,Sure! You've ordered Mayo.
Could I have medium Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"Please give me small Bacon Stacker, medium Fanta, 20 Doritos","Sure! You've ordered Bacon Stacker, Fanta, 20 Doritos."
"Can you get me Small Fries, large Steakhouse Angus","Sure! You've ordered Small Fries, Steakhouse Angus."
"I'd like to order small Bacon Double, 20 Nuggets, PB Whopper","Sure! You've ordered Bacon Double, 20 Nuggets, PB Whopper."
"I need Steakhouse Angus, medium 6 Chilli Bites, small Bacon Double","Sure! You've ordered Steakhouse Angus, 6 Chilli Bites, Bacon Double."
"I want Barbeque Sauce, Whopper","Sure! You've ordered Barbeque Sauce, Whopper."
"I'll have Steakhouse Angus, PB Whopper","Sure! You've ordered Steakhouse Angus, PB Whopper."
Please give me Steakhouse Angus,Sure! You've ordered Steakhouse Angus.
Can I get medium 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
"Could I have 6 Chilli Bites, Chilli Jam Halumi, Cheese Loaded Fries","Sure! You've ordered 6 Chilli Bites, Chilli Jam Halumi, Cheese Loaded Fries."
"Please give me large Vegan Royale, large Bacon Double X L, Barbeque Double Melt","Sure! You've ordered Vegan Royale, Bacon Double X L, Barbeque Double Melt."
"I want small 20 Nuggets, Spicy Mayo","Sure! You've ordered 20 Nuggets, Spicy Mayo."
"Could I have 4 Nuggets, large Chimichuri Angus","Sure! You've ordered 4 Nuggets, Chimichuri Angus."
"I need Spicy Mayo, Diet Cocacola, PB Whopper","Sure! You've ordered Spicy Mayo, Diet Cocacola, PB Whopper."
"I need Chimichuri Angus, 6 Doritos, Bacon Stacker","Sure! You've ordered Chimichuri Angus, 6 Doritos, Bacon Stacker."
"I'll have 5 Doritos, Fries","Sure! You've ordered 5 Doritos, Fries."
"Can you get me Ham Burger, Classic Double Melt, Chicken Royale","Sure! You've ordered Ham Burger, Classic Double Melt, Chicken Royale."
"Please give me medium Fanta, 9 Chilli Bites","Sure! You've ordered Fanta, 9 Chilli Bites."
"I need large Cheese Loaded Fries, medium Steakhouse Chicken, 6 Chilli Bites","Sure! You've ordered Cheese Loaded Fries, Steakhouse Chicken, 6 Chilli Bites."
Please give me Small Fries,Sure! You've ordered Small Fries.
"Could I have Barbeque Sauce, 20 Nuggets, small Chimichuri Chicken","Sure! You've ordered Barbeque Sauce, 20 Nuggets, Chimichuri Chicken."
Can you get me Chilli Jam Halumi,Sure! You've ordered Chilli Jam Halumi.
"Could I have 20 Nuggets, medium Small Fries","Sure! You've ordered 20 Nuggets, Small Fries."
"I want Chimichuri Loaded Fries, 9 Nuggets","Sure! You've ordered Chimichuri Loaded Fries, 9 Nuggets."
Can I get Whopper,Sure! You've ordered Whopper.
I'd like to order Large Fries,Sure! You've ordered Large Fries.
"Can I get Fanta, small Cocacola Classic","Sure! You've ordered Fanta, Cocacola Classic."
"Please give me Bacon Stacker, Large Fries, medium Steakhouse Angus","Sure! You've ordered Bacon Stacker, Large Fries, Steakhouse Angus."
